time, production
2024-11-24T11:00, 1600.119307
2024-11-24T12:00, 1930.949727
2024-11-24T13:00, 1400.620978
2024-11-24T14:00, 1000.062353
2024-11-24T15:00, 400.021041
2024-11-24T16:00, 0.000000
2024-11-24T17:00, 0.000000
2024-11-24T18:00, 0.000000
2024-11-24T19:00, 0.000000
2024-11-24T20:00, 0.000000        
2024-11-24T21:00, 0.000000        
2024-11-24T22:00, 0.000000        
2024-11-24T23:00, 0.000000        
2024-11-25T00:00, 0.000000        
2024-11-25T01:00, 0.000000        
2024-11-25T02:00, 0.000000        
2024-11-25T03:00, 0.000000        
2024-11-25T04:00, 0.000000        
2024-11-25T05:00, 0.000000        
2024-11-25T06:00, 0.000000        
2024-11-25T07:00, 0.000000        
2024-11-25T08:00, 42.647573        
2024-11-25T09:00, 200.240727        
2024-11-25T10:00, 380.944665
